school_name,address,postal_code,lat,long
SPRINGDALE PRIMARY SCHOOL,71 Anchorvale Link   ,544799,1.395285445,103.8894164
SPRINGFIELD SECONDARY SCHOOL,30 TAMPINES AVENUE 8   ,529593,1.349573035,103.9303545
ST ANDREW'S SCHOOL (JUNIOR),2 FRANCIS THOMAS DRIVE   ,359337,1.331402553,103.8651171
ST ANDREW'S SCHOOL (SECONDARY),15 FRANCIS THOMAS DRIVE   ,359342,1.33069361,103.8662491
ST. ANDREW'S JUNIOR COLLEGE,5 Sorby Adams Drive   ,357691,1.333065157,103.8635764
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4   ,469701,1.334725373,103.9412349
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4   ,469700,1.334663135,103.9419772
ST. ANTHONY'S PRIMARY SCHOOL,30 Bukit Batok St 32   ,659401,1.364119485,103.7492519
ST. GABRIEL'S PRIMARY SCHOOL,220 Lorong Chuan   ,556742,1.349307668,103.8623099
ST. GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1   ,556140,1.346487987,103.8760942
ST. HILDA'S PRIMARY SCHOOL,2 Tampines Ave 3   ,529706,1.34967979,103.9370164
ST. HILDA'S SECONDARY SCHOOL,2 TAMPINES STREET 82   ,528986,1.349739224,103.937608
ST. JOSEPH'S INSTITUTION,38 MALCOLM ROAD   ,308274,1.323653135,103.828499
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD   ,309331,1.317814761,103.8456333
ST. MARGARET'S SCHOOL (PRIMARY),136 Sophia Road   ,228197,1.304144074,103.8458203
ST. MARGARET'S SCHOOL (SECONDARY),111 FARRER ROAD   ,259240,1.319774641,103.8096022
UNITY SECONDARY SCHOOL,20 CHOA CHU KANG STREET 62   ,689143,1.400015241,103.7460209
ST. PATRICK'S SCHOOL,490 EAST COAST ROAD   ,429058,1.307883419,103.9176382
ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW   ,455789,1.318789973,103.9172581
SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34   ,659322,1.364717427,103.7503961
TAMPINES MERIDIAN JUNIOR COLLEGE,21 Pasir Ris Street 71   ,518799,1.376333469,103.9369907
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9   ,529565,1.36048786,103.9487689
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12   ,529426,1.350486395,103.9435731
TAMPINES SECONDARY SCHOOL,252 TAMPINES ST 12   ,529427,1.349260948,103.9442637
TANJONG KATONG GIRLS' SCHOOL,20 Dunman Lane   ,439272,1.307562618,103.8961072
TANJONG KATONG PRIMARY SCHOOL,10 Seraya Road   ,437259,1.30498489,103.9
TANJONG KATONG SECONDARY SCHOOL,130 HAIG ROAD   ,438796,1.30873516,103.8972252
TAO NAN SCHOOL,49 MARINE CRESCENT   ,449761,1.305285287,103.9115532
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32   ,569299,1.365650185,103.8510098
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK   ,688261,1.383886605,103.7539246
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD   ,479239,1.33109611,103.9110053
TEMASEK JUNIOR COLLEGE,2 Tampines Avenue 9   Temasek Junior College,529564,1.357280173,103.9561859
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3   ,469300,1.317203417,103.9457594
TEMASEK SECONDARY SCHOOL,600 UPPER EAST COAST ROAD   ,465561,1.315916732,103.9475641
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10   ,569730,1.359946495,103.853769
VICTORIA JUNIOR COLLEGE,20 MARINE VISTA   ,449035,1.306701742,103.9199827
VICTORIA SCHOOL,2 SIGLAP LINK   ,448880,1.308713027,103.927981
WATERWAY PRIMARY SCHOOL,70 Punggol Drive   ,828802,1.398892612,103.9185859
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE   ,757702,1.451685176,103.8225162
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72   ,649223,1.344712118,103.6989642
WEST SPRING PRIMARY SCHOOL,60 Bukit Panjang Ring Road   ,679946,1.389179718,103.7663977
WEST SPRING SECONDARY SCHOOL,61 SENJA  ROAD   ,677737,1.387822833,103.7601288
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD   ,677742,1.383785465,103.7602734
WESTWOOD PRIMARY SCHOOL,1 Jurong West Street 73   ,649188,1.347710965,103.7004675
WESTWOOD SECONDARY SCHOOL,11 JURONG WEST STREET 25   ,648350,1.353736985,103.7017721
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11   ,519075,1.365636109,103.9608618
WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24   ,579747,1.355052085,103.8425524
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14   ,738079,1.432736207,103.7902303
WOODGROVE SECONDARY SCHOOL,3 WOODLANDS AVENUE 6   ,738990,1.428318281,103.7960476
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50   ,738853,1.436582707,103.7917913
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD   ,738240,1.434851794,103.7974143
WOODLANDS RING SECONDARY SCHOOL,21 WOODLANDS AVENUE 1   ,739062,1.430704529,103.7776257
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD   ,739111,1.439125281,103.7745864
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1   ,538882,1.357996538,103.8902164
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91   ,649036,,
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8   ,538784,1.371767983,103.8828099
XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8   ,538789,1.372558847,103.8830516
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21   ,768611,1.433471869,103.8377553
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3   ,556108,1.348976808,103.8684671
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64   ,689100,1.396726035,103.751818
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51   ,538720,1.377932643,103.8856437
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5   ,569868,1.377975977,103.842137
YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD   ,768675,1.424266926,103.8300317
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD   ,768679,1.433976173,103.8340508
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71   ,768516,1.428133243,103.8287643
YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21   ,768610,1.432321567,103.8380942
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3   ,469623,1.333980379,103.932015
YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD   ,618654,1.342006358,103.7208987
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24   ,609558,1.342919816,103.7408611
YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41   ,649406,1.347186269,103.7226872
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21   ,529393,,
YUSOF ISHAK SECONDARY SCHOOL,8 SUMANG WALK   ,828676,1.406937025,103.8962751
YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1   ,538884,1.357135953,103.8901948
ZHANGDE PRIMARY SCHOOL,51 Jalan Membina   ,169485,1.284211539,103.8259519
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road   ,679002,1.379428736,103.7697032
ZHENGHUA SECONDARY SCHOOL,62 Bukit Panjang Ring Road   ,679962,1.388365834,103.7655106
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4   ,556095,1.360260725,103.8697125
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3   ,556123,1.348407208,103.8694305
